customer_id,gender,senior_citizen,partner,dependents,tenure,phone_service,multiple_lines,internet_service,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,contract,paperless_billing,payment_method,monthly_charges,total_charges,churn,tenure_group,monthly_charge_group,total_charge_group,tenure_years,new_customer,long_term_customer,avg_monthly_charges,revenue_per_year,has_streaming,has_internet,num_services,paperless_and_monthly,automatic_payments,total_charges_per_service,monthly_charges_per_service,loyal_high_spender
7590-VHVEG,Female,0,Yes,No,1,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,No,0-12m,Low(<40$),P0-10,0.08333333333333333,1,0,29.85,358.20000000000005,No,Yes,2,Yes,No,9.95,9.95,No
5575-GNVDE,Male,0,No,No,34,Yes,No,DSL,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,No,25-48m,Medium ($40-$70),P50-75,2.8333333333333335,0,0,55.5735294117647,666.8823529411765,No,Yes,4,No,No,377.9,11.39,No
3668-QPYBK,Male,0,No,No,2,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,Yes,0-12m,Medium ($40-$70),P10-25,0.16666666666666666,1,0,54.075,648.9000000000001,No,Yes,4,No,No,21.63,10.77,No
7795-CFOCW,Male,0,No,No,45,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,No,25-48m,Medium ($40-$70),P50-75,3.75,0,0,40.90555555555556,490.8666666666667,No,Yes,4,No,Yes,368.15,8.46,No
9237-HQITU,Female,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,Yes,0-12m,High ($70-$100),P10-25,0.16666666666666666,1,0,75.825,909.9000000000001,No,Yes,2,Yes,No,50.55,23.57,No
9305-CDSKC,Female,0,No,No,8,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,0-12m,High ($70-$100),P25-50,0.6666666666666666,1,0,102.5625,1230.75,Yes,Yes,5,Yes,No,136.75,16.61,No
1452-KIOVK,Male,0,No,Yes,22,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,No,13-24m,High ($70-$100),P50-75,1.8333333333333333,0,0,88.60909090909091,1063.309090909091,Yes,Yes,4,Yes,Yes,389.88,17.82,No
6713-OKOMC,Female,0,No,No,10,No,No phone service,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,No,0-12m,Low(<40$),P10-25,0.8333333333333334,1,0,30.189999999999998,362.28,No,Yes,2,No,No,100.63,9.92,No
7892-POOKP,Female,0,Yes,No,28,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,25-48m,Very High (>$100),P50-75,2.3333333333333335,0,0,108.78750000000001,1305.45,Yes,Yes,6,Yes,No,435.15,14.97,No
6388-TABGU,Male,0,No,Yes,62,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,No,49-72m,Medium ($40-$70),P50-75,5.166666666666667,0,1,56.25725806451613,675.0870967741935,No,Yes,4,No,Yes,697.59,11.23,No
