customer_id,gender_female,senior_citizen,partner,dependents,tenure,phone_service,paperless_billing,monthly_charges,total_charges,churn,multiple_lines_No phone service,multiple_lines_Yes,internet_service_Fiber optic,internet_service_No,online_security_No internet service,online_security_Yes,online_backup_No internet service,online_backup_Yes,device_protection_No internet service,device_protection_Yes,tech_support_No internet service,tech_support_Yes,streaming_tv_No internet service,streaming_tv_Yes,streaming_movies_No internet service,streaming_movies_Yes,contract_One year,contract_Two year,payment_method_Credit card (automatic),payment_method_Electronic check,payment_method_Mailed check,tenure_years,new_customer,long_term_customer,avg_monthly_charges,revenue_per_year,num_services,paperless_and_monthly,automatic_payments,total_charges_per_service,monthly_charges_per_service,loyal_high_spender
7590-VHVEG,1,0,1,0,1,0,1,29.85,29.85,0,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,0.08333333333333333,1,0,29.85,358.20000000000005,2,False,False,9.95,9.95,False
5575-GNVDE,0,0,0,0,34,1,0,56.95,1889.5,0,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,2.8333333333333335,0,0,55.5735294117647,666.8823529411765,4,False,False,377.9,11.39,False
3668-QPYBK,0,0,0,0,2,1,1,53.85,108.15,1,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,0.16666666666666666,1,0,54.075,648.9000000000001,4,False,False,21.63,10.77,False
7795-CFOCW,0,0,0,0,45,0,0,42.3,1840.75,0,True,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,3.75,0,0,40.90555555555556,490.8666666666667,4,False,True,368.15,8.46,False
9237-HQITU,1,0,0,0,2,1,1,70.7,151.65,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.16666666666666666,1,0,75.825,909.9000000000001,2,False,False,50.55,23.57,False
9305-CDSKC,1,0,0,0,8,1,1,99.65,820.5,1,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0.6666666666666666,1,0,102.5625,1230.75,5,False,False,136.75,16.61,False
1452-KIOVK,0,0,0,1,22,1,1,89.1,1949.4,0,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,1.8333333333333333,0,0,88.60909090909091,1063.309090909091,4,False,True,389.88,17.82,False
6713-OKOMC,1,0,0,0,10,0,0,29.75,301.9,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.8333333333333334,1,0,30.189999999999998,362.28,2,False,False,100.63,9.92,False
7892-POOKP,1,0,1,0,28,1,1,104.8,3046.05,1,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,2.3333333333333335,0,0,108.78750000000001,1305.45,6,False,False,435.15,14.97,False
6388-TABGU,0,0,0,1,62,1,0,56.15,3487.95,0,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,5.166666666666667,0,1,56.25725806451613,675.0870967741935,4,False,True,697.59,11.23,False
9763-GRSKD,0,0,1,1,13,1,1,49.95,587.45,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,1.0833333333333333,0,0,45.18846153846154,542.2615384615385,3,False,False,146.86,12.49,False
7469-LKBCI,0,0,0,0,16,1,0,18.95,326.8,0,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,1.3333333333333333,0,0,20.425,245.10000000000002,1,False,True,163.4,9.48,False
